В данном файле указана статистика о длительности фонем в кадрах (в разрезе каждой фонемы и общая)
Всего кадров (и, соответственно, фонем): 4950
---Статистика в разрезе каждой фонемы---
Столбец sum - сумма длительности в кадрах
Столбец sum_percent - сумма длительности в процентах от общего количества кадров
Столбец min - минимальная длительность в кадрах
Столбец max - максимальная длительность в кадрах
Стообец mean - средняя длительность в кадрах
Столбец std - среднее квадратичное отклонение длительности в кадрах
Столбец count - число встреч фонемы (не учитывается длительность)
         sum  sum_percent  min   max      mean       std  count
b       70.0          1.4  1.0   3.0  1.458333  0.581939   48.0
b_j      3.0          0.1  1.0   2.0  1.500000  0.707107    2.0
d       65.0          1.3  1.0   3.0  1.477273  0.590177   44.0
d_j     96.0          1.9  1.0   5.0  1.920000  0.829064   50.0
f        5.0          0.1  1.0   3.0  1.666667  1.154701    3.0
f_j      3.0          0.1  1.0   2.0  1.500000  0.707107    2.0
g       24.0          0.5  1.0   3.0  1.411765  0.618347   17.0
g_j      6.0          0.1  1.0   2.0  1.500000  0.577350    4.0
j       82.0          1.7  1.0   4.0  1.322581  0.647168   62.0
k      110.0          2.2  1.0   3.0  1.506849  0.648145   73.0
k_j     12.0          0.2  1.0   2.0  1.714286  0.487950    7.0
l       59.0          1.2  1.0   8.0  2.185185  1.569837   27.0
l_j     67.0          1.4  1.0   2.0  1.264151  0.445099   53.0
m      116.0          2.3  1.0   6.0  1.757576  0.977605   66.0
m_j     68.0          1.4  1.0   3.0  1.478261  0.623222   46.0
n      122.0          2.5  1.0   6.0  1.370787  0.713220   89.0
n_j     91.0          1.8  1.0   3.0  1.625000  0.702269   56.0
p      118.0          2.4  1.0   6.0  1.638889  0.908575   72.0
p_j      7.0          0.1  1.0   2.0  1.400000  0.547723    5.0
r       81.0          1.6  1.0   2.0  1.109589  0.314539   73.0
r_j     40.0          0.8  1.0   2.0  1.142857  0.355036   35.0
s      279.0          5.6  1.0   5.0  2.286885  0.885881  122.0
s_j    112.0          2.3  1.0   4.0  2.196078  0.916943   51.0
S_j      5.0          0.1  1.0   2.0  1.666667  0.577350    3.0
S      113.0          2.3  1.0   4.0  2.306122  0.713094   49.0
t      219.0          4.4  1.0   9.0  1.479730  0.965173  148.0
t_j    181.0          3.7  1.0   8.0  1.792079  1.079971  101.0
ts      35.0          0.7  1.0   4.0  2.187500  1.108678   16.0
tS_j    36.0          0.7  1.0   3.0  1.714286  0.717137   21.0
v      176.0          3.6  1.0   4.0  1.478992  0.674584  119.0
v_j     17.0          0.3  1.0   1.0  1.000000  0.000000   17.0
x       71.0          1.4  1.0   4.0  2.151515  0.755034   33.0
x_j      1.0          0.0  1.0   1.0  1.000000  0.000000    1.0
z       63.0          1.3  1.0   3.0  1.702703  0.570812   37.0
z_j      4.0          0.1  2.0   2.0  2.000000  0.000000    2.0
Z       71.0          1.4  1.0   3.0  1.577778  0.690484   45.0
a     1086.0         21.9  1.0  11.0  1.978142  1.326139  549.0
e      398.0          8.0  1.0  11.0  1.672269  1.159144  238.0
i      361.0          7.3  1.0  21.0  1.805000  1.924968  200.0
u      126.0          2.5  1.0   5.0  1.657895  0.945905   76.0
1      116.0          2.3  1.0   7.0  1.589041  1.078008   73.0
o       45.0          0.9  1.0   4.0  1.666667  0.784465   27.0
<p:>   190.0          3.8  1.0  14.0  4.130435  3.088392   46.0
---Общая статистика---
Минимальная длительность в кадрах по всем фонемам: 1
Максимальная длительность в кадрах по всем фонемам: 21
Средняя длительность в кадрах по всем фонемам: 1.760000
Среднее квадратичное отклонение длительности в кадрах по всем фонемам: 1.210000
