В данном файле указана статистика о длительности фонем в кадрах (в разрезе каждой фонемы и общая)
Всего кадров (и, соответственно, фонем): 37775
---Статистика в разрезе каждой фонемы---
Столбец sum - сумма длительности в кадрах
Столбец sum_percent - сумма длительности в процентах от общего количества кадров
Столбец min - минимальная длительность в кадрах
Столбец max - максимальная длительность в кадрах
Стообец mean - средняя длительность в кадрах
Столбец std - среднее квадратичное отклонение длительности в кадрах
Столбец count - число встреч фонемы (не учитывается длительность)
         sum  sum_percent  min   max      mean       std   count
b      412.0          1.1  1.0   5.0  1.440559  0.731472   286.0
b_j     75.0          0.2  1.0   3.0  1.363636  0.588898    55.0
d      372.0          1.0  1.0   4.0  1.333333  0.543106   279.0
d_j    327.0          0.9  1.0   8.0  1.934911  1.000845   169.0
f       21.0          0.1  1.0   4.0  2.100000  0.994429    10.0
f_j     19.0          0.1  1.0   3.0  1.583333  0.792961    12.0
g      192.0          0.5  1.0   3.0  1.411765  0.576973   136.0
g_j     20.0          0.1  1.0   4.0  1.666667  0.887625    12.0
j      749.0          2.0  1.0  11.0  1.477318  1.006392   507.0
k     1026.0          2.7  1.0   8.0  1.750853  0.892154   586.0
k_j    122.0          0.3  1.0   4.0  1.967742  0.886469    62.0
l      805.0          2.1  1.0  15.0  1.997519  1.379485   403.0
l_j    389.0          1.0  1.0   3.0  1.246795  0.474416   312.0
m      997.0          2.6  1.0  22.0  1.701365  1.445736   586.0
m_j    199.0          0.5  1.0   3.0  1.292208  0.510355   154.0
n      686.0          1.8  1.0   5.0  1.289474  0.594103   532.0
n_j    564.0          1.5  1.0   8.0  1.253333  0.595305   450.0
p      584.0          1.5  1.0   4.0  1.438424  0.616563   406.0
p_j     92.0          0.2  1.0   3.0  1.437500  0.587570    64.0
r      391.0          1.0  1.0   8.0  1.167164  0.548921   335.0
r_j    248.0          0.7  1.0   3.0  1.107143  0.324131   224.0
s     1188.0          3.1  1.0  11.0  2.216418  1.165626   536.0
s_j    669.0          1.8  1.0   7.0  2.563218  1.177035   261.0
S_j    237.0          0.6  1.0   9.0  2.662921  1.330958    89.0
S      429.0          1.1  1.0   5.0  1.986111  0.937484   216.0
t     1605.0          4.2  1.0   7.0  1.442049  0.698477  1113.0
t_j    589.0          1.6  1.0   5.0  1.763473  0.845966   334.0
ts      82.0          0.2  1.0   4.0  2.102564  0.911762    39.0
tS_j   403.0          1.1  1.0   5.0  2.155080  0.940438   187.0
v      865.0          2.3  1.0  15.0  1.539146  1.220472   562.0
v_j    161.0          0.4  1.0   6.0  1.364407  0.724011   118.0
x      247.0          0.7  1.0  17.0  2.375000  1.807146   104.0
x_j      8.0          0.0  2.0   4.0  2.666667  1.154701     3.0
z      295.0          0.8  1.0   8.0  1.787879  0.948605   165.0
z_j     16.0          0.0  1.0   3.0  2.000000  0.755929     8.0
Z      248.0          0.7  1.0   4.0  1.687075  0.680478   147.0
a     7563.0         20.0  1.0  33.0  2.131023  2.364363  3549.0
e     2229.0          5.9  1.0  15.0  1.722566  1.297687  1294.0
i     1775.0          4.7  1.0  21.0  2.005650  2.127968   885.0
u     1375.0          3.6  1.0  30.0  2.291667  2.316363   600.0
1      566.0          1.5  1.0  13.0  1.831715  1.764779   309.0
o      447.0          1.2  1.0  16.0  2.128571  2.060715   210.0
<p:>  8488.0         22.5  1.0  43.0  6.736508  7.018557  1260.0
---Общая статистика---
Минимальная длительность в кадрах по всем фонемам: 1
Максимальная длительность в кадрах по всем фонемам: 43
Средняя длительность в кадрах по всем фонемам: 2.150000
Среднее квадратичное отклонение длительности в кадрах по всем фонемам: 2.740000
